Location,Age_Group,Population,Week,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
All King County,40-49,296609.58,09/02/20 - 09/08/20,3857,4155,81,6,0
All King County,50-59,270375.02,09/02/20 - 09/08/20,3715,3902,75,5,2
All King County,60-69,219475.51,09/02/20 - 09/08/20,2945,3061,52,6,1
All King County,70-79,122090.34,09/02/20 - 09/08/20,1728,1795,20,7,1
All King County,80+,61987.13,09/02/20 - 09/08/20,1436,1517,22,3,5
All King County,Unknown,0,09/02/20 - 09/08/20,29,29,0,0,0
All King County,0-9,257228.65,09/09/20 - 09/15/20,1125,1134,32,0,0
All King County,10-19,254148.03,09/09/20 - 09/15/20,2207,2267,96,0,0
All King County,20-29,207537.14,09/09/20 - 09/15/20,7932,8425,148,0,0
All King County,30-39,394262.07,09/09/20 - 09/15/20,6660,6945,96,2,1
All King County,40-49,296609.58,09/09/20 - 09/15/20,3985,4190,83,1,0
All King County,50-59,270375.02,09/09/20 - 09/15/20,3967,4133,78,6,0
All King County,60-69,219475.51,09/09/20 - 09/15/20,3232,3344,41,5,1
All King County,70-79,122090.34,09/09/20 - 09/15/20,1994,2067,15,5,1
All King County,80+,61987.13,09/09/20 - 09/15/20,1434,1514,9,2,3
All King County,Unknown,0,09/09/20 - 09/15/20,48,48,0,0,0
All King County,0-9,257228.65,09/16/20 - 09/22/20,1251,1267,27,1,0
All King County,10-19,254148.03,09/16/20 - 09/22/20,2438,2519,61,0,0
All King County,20-29,207537.14,09/16/20 - 09/22/20,7849,8508,153,2,1
All King County,30-39,394262.07,09/16/20 - 09/22/20,6818,7184,94,2,0
All King County,40-49,296609.58,09/16/20 - 09/22/20,4082,4336,75,8,0
All King County,50-59,270375.02,09/16/20 - 09/22/20,4142,4344,71,9,0
All King County,60-69,219475.51,09/16/20 - 09/22/20,3295,3416,33,4,4
All King County,70-79,122090.34,09/16/20 - 09/22/20,1843,1916,16,5,2
All King County,80+,61987.13,09/16/20 - 09/22/20,1145,1197,11,5,0
All King County,Unknown,0,09/16/20 - 09/22/20,43,43,0,0,0
All King County,0-9,257228.65,09/23/20 - 09/29/20,1402,1430,35,1,0
All King County,10-19,254148.03,09/23/20 - 09/29/20,2969,3094,96,2,1
All King County,20-29,207537.14,09/23/20 - 09/29/20,8522,9252,183,1,0
